,가중치,분산
0,"(1, 1, 8)",0.07432
9,"(2, 2, 6)",0.07085
1,"(1, 2, 7)",0.07004
2,"(1, 3, 6)",0.06952
3,"(1, 4, 5)",0.06717
10,"(2, 3, 5)",0.0666
15,"(3, 1, 6)",0.0657
8,"(2, 1, 7)",0.06444
4,"(1, 5, 4)",0.06427
11,"(2, 4, 4)",0.0612
21,"(4, 1, 5)",0.06105
17,"(3, 3, 4)",0.06083
16,"(3, 2, 5)",0.05984
5,"(1, 6, 3)",0.05859
12,"(2, 5, 3)",0.05793
13,"(2, 6, 2)",0.05646
7,"(1, 8, 1)",0.05478
6,"(1, 7, 2)",0.05473
26,"(5, 1, 4)",0.05408
23,"(4, 3, 3)",0.05338
18,"(3, 4, 3)",0.05311
14,"(2, 7, 1)",0.05307
19,"(3, 5, 2)",0.05265
20,"(3, 6, 1)",0.05236
27,"(5, 2, 3)",0.05209
22,"(4, 2, 4)",0.05107
28,"(5, 3, 2)",0.04809
24,"(4, 4, 2)",0.04773
29,"(5, 4, 1)",0.04739
25,"(4, 5, 1)",0.04704
30,"(6, 1, 3)",0.04658
31,"(6, 2, 2)",0.04552
32,"(6, 3, 1)",0.04484
33,"(7, 1, 2)",0.0301
34,"(7, 2, 1)",0.02813
35,"(8, 1, 1)",0.02703
